鸦 鴉 [āa] "a crow"    
有前冇后 有前冇後 "[yáuh chìhn móuh hauh]" "1. to have a front but no back2. to not carry things through to their conclusion3. to be impulsive4. to be reckless of one's own safety in a fight"    
有前有后 有前有後 "[yáuh chìhn yáuh huah]" "(to have a front and a back)a good figure (said of woman)"    
有钱驶得鬼推磨 有錢駛得鬼推磨 "[yáuh chín sái dāk gwái tēui mòh]" "(if you have money you can make a ghost push a millstone)everything is possible with money" " money makes the world go round"   
有凸 有凸 "[yáuh daht]" "something left over, excess amount"    
有突 有突 "[yáuh daht]" "something left over, excess amount"    
有得擦 有得擦 "[yáuh dāt chaat]" "come and help yourself! there's a big meal to eat!"    
有得挥 有得揮 "[yáuh dāt fāi]" "(<fight)comparable, in the same league as"    
有得斟 有得斟 "[yáuh dāt jām]" "1. to have room for discussion, to be open for negotiations2. available for business (e.g. prostitute)"    
有得震，冇得训 有得震，冇得訓 "[yáuh dāt jan, móuh dāt fan]" "(all you can do is tremble, you can't sleep)to be scared"    
有啲惊 有啲驚 "[yáuh dī gēng]" "to have worries, to be afraid"    
有D惊 有D驚 "[yáuh dī gēng]" "to have worries, to be afraid"    
有啲渣嗱 有啲渣嗱 "[yáuh dī jāa làah]" "a degree of certainty, some guarantee"    
有分数 有分數 "[yáuh fān sou]" "to handle a problem, to deal with a matter, to have a solution for a problem, ""leave it to me!"", ""I'll take care of it!."    
有feel 有feel "[yáuh fīu]" "to feel strongly, to have positive feelings; to experience a powerful sensation"    
有福同享，有难同当 有福同享，有難同當 "[yáuh fūk tùhng héung, yáuh naahn tùhng dōng]" "to share both successes and failures, to support each other together through thick and thin, to be loyal and steadfast"    
有福同享，有祸同当 有福同享，有禍同當 "[yáuh fūk tùhng héung, yáuh woh tùhng dōng]" "to share both successes and failures, to support each other together through thick and thin, to be loyal and steadfast"    
有风驶尽巾里 有風駛盡巾里 "[yáuh fūng sái jeuhn leih]" "(in full-sail when the wind is up)to exploit a favourable opportunity to the full" " to go too far when one has the power"   
有风驶尽里 有風駛盡里 "[yáuh fūng sái jeuhn leih]" "(in full-sail when the wind is up)to exploit a favourable opportunity to the full" " to go too far when one has the power"   
有风驶尽利 有風駛盡利 "[yáuh fūng sái jeuhn leih]" "(in full-sail when the wind is up)to exploit a favourable opportunity to the full" " to go too far when one has the power"   
有交易 有交易 "[yáuh gāau yihk]" "(there is transaction)to make a deal, to do business"    
有金执 有金執 "[yáuh gām jāp]" "(gold to be picked up)easy money to be made"    
有今日 有今日 "[yáuh gām yaht]" "(to have today)to meet the fate one deserves"    
有境 有境 "[yáuh gíng]" "to have good prospects in life, to be in a good position"    
有㬌 有㬌 "[yáuh gíng]" "1. with nice view (house)2. to have good prospects3. to have a customer "    
有怪莫怪 有怪莫怪 "[yáuh gwaai mohk gwaai]" "used to admit that one is in the wrong, that one oews an apology"    
有鬼 有鬼 "[yáuh gwái]" "(to have a ghost)1. haunted2. to have a problem, to be worried, to feel something is wrong3. to have someone moving in for a challenge against one, a ""man on"" (e.g. in football), to have someone close behind (e.g. in swimming or running)"    
有鬼用 有鬼用 "[yáuh gwái yuhng]" "no use, absolutely noe use, ""no bloody use"", ""bloody useless"""    
有骨 有骨 "[yáuh gwāt]" "ironic, not speaking directly"    
讲嘢有骨 講嘢有骨 "[góng yéh yáuh gwāt]" "ironic, not speaking directly"    
有气冇订透 有氣冇訂透 "[yáuh hei móuh dehng táu]" "1. to be breathless, to be out of breath, to be unable to breathe2. to be extremely busy, to be rushed off one's feet"    
有姿势，冇实际 有姿勢，冇實際 "[yáuh jī sai, móuh saht jai]" "(all gesture but no substance)to be impressive on the outside but have no substance, to be ""all show""."    
冇自唔在，攞苦嚟辛 冇自唔在，攞苦嚟辛 "[yáuh jih m4 joih, ló fú làih sān]" "(to give up comfort and choose hardship)to take the difficult option, to follow the difficult route"    
有蕉食 有蕉食 "[yáuh jīu sihk]" "(to have banana to eat)to have a customer, to receive a customer's hir or order (taxi driver jargon)"    
有咗 有咗 "[yáuh jó]" "to be pregnant"    
有早知冇乞儿 有早知冇乞兒 "[yáuh jóu jī móuh hāt yī]" "(if one knew in advance one wouldn't end up a beggar)it's no good being wise after the event"    
有种 有種 "[yáuh júng]" brave    
有卡士 有卡士 "[yáuh kāa/klāa sí]" "to have class"    
有辣唔唔辣 有辣唔唔辣 "[yáuh laaht yáuh m4 laaht]" "(spicy or non-spicy)1. the pros and cons of a situation, job, etc2. to have something to suit every taste"    
有理冇理 有理冇理 "[yáuh léih móuh léih]" "whether reasonable or not, regardless of the consequences, whatever the cost"    
有料 有料 "[yáuh líu]" "to have real substance, to hav genuine talent, ability or knowledge"    
有料到 有料到 "[yáuh líu dou]" "1. used to report that one has found relevant information or an important clue2. substantial, useful, offering a benefit"    
有箩 有籮 "[yáuh lō]" "to have an attractive bottom, to have a good behind"    
有路 有路 "[yáuh louh]" "(to have a common road)to have an affair, to be lovers"    
有纹有路 有紋有路 "[yáuh màhn yáuh louh]" "1. to have grasped how to do something, on the right lines2. to be mature (of children)"    
有米 有米 "[yáuh máih]" "(have rice)rich"    
有乜唔妥 有乜唔妥 "[yáuh māt m4 tóh]" "a worried question, ""is something wrong?"", ""is everything okay?"""    
有乜依郁 有乜依郁 "[yáuh māt yī yūk]" "the slightest movement"    
有味笑话 有味笑話 "[yáuh meih siu wáa]" "jokes about sex, ""fruity talk"""    
有冇带袋 有冇帶袋 "[yáuh móuh daai dói aa]" "have you got a condom?"    
有冇料到 有冇料到 "[yáuh móuh líu dou]" "(any material arrived)a general inquiry to see if any new information has arrived, or if some new instruction or task has come in (e.g. in an office)"    
有毛有翼 有毛有翼 "[yáuh móuh yáuh yihk]" "(to hair fethers and wings)to be independent, to be able to take care of oneself"    
有你冇我 有你冇我 "[yáuh néih móuh ngóh]" "(if you no me)a threat or a description of a situation in which the speaker refuses to compromise or states that everything is at stake, ""it's you or me!""."    
有瓦遮头 有瓦遮頭 "[yáuh ngáah jē tàuh]" "(having tiles over one's head)to have shelter, to have a place to live"    
有眼不识泰山 有眼不識泰山 "[yáuh ngáah bāt sīk taai sāan]" "to miss the obvious, to be blind to a salient fact, to overlook something or someone important"    
有眼光 有眼光 "[yáuh ngáah gwōng]" "to have an eye for"    
有牌烂仔 有牌爛仔 "[yáuh pàaih laahn jái]" "(licensed rascal)a derogatory term for the police, ""villain with a badge"""    
有排受 有排受 "[yáuh pàaih sauh]" "to be suffer for a long time"    
有屁就放 有屁就放 "[yáuh pei jauh fong]" "(if you have a fart let it out)used as an impatient way to tell someone to speak up, to say what is on their mind"    
有杀错，冇放过 有殺錯，冇放過 "[yáuh saat cho, móuh fong gwo]" "(to kill in error rather than let off)1. to leave nothing out when it comes to eating, shopping, etc.2. ruthless, killing indiscriminately"    
有心唔怕迟 有心唔怕遲 "[yáuh sām m4 paa chìh]" "(if you are genuinely concerned, it doesn't matter if you are late)used to encourage someone to do something even though they are late (e.g. sending a present)."    
有麝自然香 有麝自然香 "[yáuh she jih yìhn hēung]" "(where there is musk, there is a scent)true talent or merit will always be recognised without the need to advertise it"    
有事钟无艳，无事夏迎春 有事鐘無艷，無事夏迎春 "[yáuh sih jūng mòuh yihm, mòuh sih hah yìhng chēun]" "(when something happens, call for Zhong Wuyan; when nothing is happening, call for Xia Yingchun)in good times, people forget those who helped them in bad times (a reference to the ugly but clever wife and the beautiful imperial concubine of the Emperor Qi Xuan)"    
有事慢慢讲 有事慢慢講 "[yáuh sih maahn máan góng]" "used in an attempt to diffuse a situation which is turning violent, ""take it easy, let's talk it over!""."    
有头发边个想做癞痢 有頭髮邊個想做癩痢 "[yáuh tàuh faat bīn go séung jouh laat lēi]" "(nobody with hair wants to have scabies)nobody wants bad things to happen to them"    
有头威，冇头阵 有頭威，冇頭陣 "[yáuh tàuh wāi, móuh méih jahn]" "(impressive at the beginning but tailing off at end)to start strongly but finish weakly"    
有头有面 有頭有面 "[yáuh tàuh yáuh mín]" "to have an important profile, to have solid achievements, to have status "    
有Taste 有Taste "[yáuh tēi sí]" "to have good taste"    
有环境 有環境 "[yáuh wàahn gíng]" "(to have prospects)to have a customer (taxi driver jargon)"    
有运行 有運行 "[yáuh wahn hàahng]" "to be fortunate, to be lucky"    
有碗话碗，有碟话碟 有碗話碗，有碟話碟 "[yáuh wún waah wún, yáuh dihp waah dihp]" "(where there is a bowl, say bowl; where there is a fish, say fish)to be straightforward and honest, to not embellish the facts"    
有一手 有一手 "[yáuh yāt sáu]" "1. to have had a romance (of two persons)2. to have a special skill"    
有嘢就讲，有屁就放 有嘢就講，有屁就放 "[yáuh yéh juah góng, yáuh pei jauh fong]" "(if you have something to say, say it; if you have a fart, let it out)an expression of impatience, ""get on with it!"", ""say what's on your mind!"""    
有爷生，冇乸教 有爺生，冇乸教 "[yáuh yéh sāang, móuh náa gaau]" "(to be born of a father but have no mother to instruct one)to be badly brought up"    
有异性冇人性 有異性冇人性 "[yáuh yih sing móuh yàhn sing]" "to ignore one's friend when one has found a boy or girlfriend"    
有型 有型 "[yáuh yìhng]" "to be good-looking, to have style"    
有型有款 有型有款 "[yáuh yìhng yáuh fún]" "to be good-looking, to have style"    
有样学样 有樣學樣 "[yáuh yéung hok yéung]" "(following any example)to follow a bad example, to copy someone's behaviour even when it is not desirable"    
爷 爺 [yèh] "a grandfather"    
椰 椰 [yèh] "a coconut"    
椰子壳 椰子殼 "[yèh jí hok]" "(coconut shell)a bra"    
嘢 嘢 [yèh] "1. thing2. a person, a body part or other object which is not named directly but is often indicated by the classifier used3. a person (disrespectful)4. heroin"    
嘢可以乱食，说话唔可以乱讲 嘢可以亂食，說話唔可以亂講 "[yèh hó yíh lyuhn sihk, syut waah m4 hó yíh lyuhn góng]" "1. used to warn someone to watch what they say2. used to dismiss what someone is saying"    
野 野 [yèh] "1. wild2. illegitimate"    
野鸡 野雞 "[yèh gāi]" "(wild chicken)1. unlicensed, low status (school)2. a street girl, a prostitute on the street3. a promiscuous girl or woman, a ""slut"""    
野鸡学校 野雞學校 "[yèh gāi hohk haauh]" "an unlicensed school" " a school with no status"   
野仔 野仔 "[yèh jái]" "an illegitimate boy (derogatory)"    
野女 野女 "[yèh néui]" "an illegitimate girl (derogatory)"    
惹 惹 [yéh] "to stir up"    
惹火 惹火 "[yéh fó]" "(inflammable)sexy (of a woman)"    
夜 夜 [yeh] "a night"    
夜吹 夜吹 "[yeh chēui]" "to chat late at night, to be in contact at night"    
夜鬼 夜鬼 "[yeh gwái]" "a night-owl, an insomniac"    
夜香 夜香 "[yeh hēung]" "(night fragrance)excrement, ""night soil"", ""shit"""    
夜冷 夜冷 "[yeh lāang]" "a second-hand shop, a shop selling old or used goods"    
夜来香 夜來香 "[yeh lòih hēung]" "(night come fragrance)excrement, ""night soil"", ""shit"""    
夜妈妈 夜媽媽 "[yeh māa māa]" "very late at night"    
赢 贏 [yèhng] "to win"    
赢面 贏面 "[yèhng mín]" "(win face)percentage profit, gain"    
弱 弱 [yeuhk] weak    
弱鸡 弱雞 "[yeuhk gāi]" "1. weak, feeble2. cowardly"    
弱智 弱智 "[yeuhk ji]" "a person of low intelligence, a ""moron"""    
药 藥 [yeuhk] medicine    
药力 藥力 "[yeuhk lihk]" "(medcine strength)the effect of a drug "    
润 潤 [yeuhn] "1. to enrich2. to behave arrogantly3. to provoke, to display disrespct to"    
养 養 [yéuhng] "to raise"    
养草皮 養草皮 "[yéuhng fú wàih waahn]" "(to raise a tiger and court disaster)to go into an arrangement that will end up causing one harm, to support someone who will end up attacking or destroying"    
养唔熟 養唔熟 "[yéuhng m4 suhk]" "disobedient, hard to train or educate"    
养眼 養眼 "[yéuhng ngáahn]" "(feeding the eyes)good-looking, good to look at"    
扬 揚 [yèuhng] "1. to expose2. to be revealed, to be found out, to be discovered"    
样 樣 [yéung] "an appearance"    
样炳 樣炳 "[yéung bíng]" "1. an ugly face2. a bad situation"    
样丙 樣丙 "[yéung bíng]" "1. an ugly face2. a bad situation"    
样衰 樣衰 "[yéung sēui]" "(face bad)1. an ugly face2. a bad situation"    
样衰衰 樣衰衰 "[yéung sēui sēui]" "(face bad)1. an ugly face2. a bad situation"    
Ichiban Ichiban [yīchībāang] "(first rate)top quality, number one (from Japanese"    
衣 衣 [yī] clothes    
衣食父母 衣食父母 "[yī sihk fuh móuh]" "(food and clothing parents)an employer, a patron, someone who is a source of financial support"    
衣食无忧 衣食無憂 "[yī sihk mòuh yāu]" "to have no worries about money, to be comfortably well-off"    
